#log10(N_HI) log10(f(N_HI,X)) log10(dN_HI) log10(df(N_HI,X))
20.05 -21.44 0.05 0.02
20.15 -21.47 0.05 0.02
20.25 -21.59 0.05 0.02
20.35 -21.68 0.05 0.02
20.45 -21.82 0.05 0.02
20.55 -21.98 0.05 0.02
20.65 -22.14 0.05 0.03
20.75 -22.32 0.05 0.03
20.85 -22.51 0.05 0.03
20.95 -22.67 0.05 0.03
21.05 -22.91 0.05 0.04
21.15 -23.11 0.05 0.04
21.25 -23.28 0.05 0.05
21.35 -23.58 0.05 0.06
21.45 -23.81 0.05 0.07
21.55 -24.01 0.05 0.08
21.65 -24.20 0.05 0.08
21.75 -24.62 0.05 0.12
21.85 -24.85 0.05 0.18
21.95 -25.60 0.05 0.53
22.10 -26.05 0.10 0.53
22.30 -26.25 0.10 0.53
